x,U_ML_Thomas,U_exact
-4.33924,1.70724e-341,0
-4.33418,4.4249e-341,0
-4.32911,1.14685e-340,0
-4.32405,2.97238e-340,0
-4.31899,7.70366e-340,0
-4.31392,1.99657e-339,0
-4.30886,5.17448e-339,0
-4.3038,1.34104e-338,0
-4.29873,3.47548e-338,0
-4.29367,9.00701e-338,0
-4.28861,2.33422e-337,0
-4.28354,6.04918e-337,0
-4.27848,1.56764e-336,0
-4.27342,4.06248e-336,0
-4.26835,1.05276e-335,0
-4.26329,2.72812e-335,0
-4.25823,7.06956e-335,0
-4.25316,1.83196e-334,0
-4.2481,4.74715e-334,0
-4.24304,1.23011e-333,0
-4.23797,3.18751e-333,0
-4.23291,8.25948e-333,0
-4.22785,2.14017e-332,0
-4.22278,5.54547e-332,0
-4.21772,1.43689e-331,0
-4.21266,3.72308e-331,0
-4.20759,9.64663e-331,0
-4.20253,2.49945e-330,0
-4.19747,6.47599e-330,0
-4.19241,1.67789e-329,0
-4.18734,4.34724e-329,0
-4.18228,1.12631e-328,0
-4.17722,2.9181e-328,0
-4.17215,7.56021e-328,0
-4.16709,1.95868e-327,0
-4.16203,5.07441e-327,0
-4.15696,1.31463e-326,0
-4.1519,3.40576e-326,0
-4.14684,8.82308e-326,0
-4.14177,2.28571e-325,0
-4.13671,5.92127e-325,0
-4.13165,1.53392e-324,0
-4.12658,3.97362e-324,0
-4.12152,1.02935e-323,0
-4.11646,2.66646e-323,0
-4.11139,6.90717e-323,0
-4.10633,1.7892e-322,0
-4.10127,4.63462e-322,0
-4.0962,1.2005e-321,0
-4.09114,3.10959e-321,0
-4.08608,8.05453e-321,0
-4.08101,2.08627e-320,0
-4.07595,5.40374e-320,0
-4.07089,1.39963e-319,0
-4.06582,3.62515e-319,0
-4.06076,9.38929e-319,0
-4.0557,2.43183e-318,0
-4.05063,6.29837e-318,0
-4.04557,1.63124e-317,0
-4.04051,4.22473e-317,0
-4.03544,1.09415e-316,0
-4.03038,2.83365e-316,0
-4.02532,7.33856e-316,0
-4.02025,1.90051e-315,0
-4.01519,4.92178e-315,0
-4.01013,1.27458e-314,0
-4.00506,3.30072e-314,0
-4,8.54756e-314,0
-3.99494,2.21345e-313,0
-3.98987,5.73181e-313,0
-3.98481,1.48425e-312,0
-3.97975,3.84341e-312,0
-3.97468,9.95222e-312,0
-3.96962,2.57701e-311,0
-3.96456,6.67279e-311,0
-3.95949,1.72779e-310,0
-3.95443,4.47373e-310,0
-3.94937,1.15836e-309,0
-3.9443,2.99921e-309,0
-3.93924,7.76545e-309,0
-3.93418,2.01057e-308,0
-3.92911,5.20554e-308,0
-3.92405,1.34774e-307,0
-3.91899,3.48931e-307,0
-3.91392,9.03374e-307,0
-3.90886,2.33877e-306,0
-3.9038,6.05484e-306,0
-3.89873,1.56751e-305,0
-3.89367,4.058e-305,0
-3.88861,1.05053e-304,0
-3.88354,2.71954e-304,0
-3.87848,7.04009e-304,0
-3.87342,1.82244e-303,0
-3.86835,4.71762e-303,0
-3.86329,1.2212e-302,0
-3.85823,3.16112e-302,0
-3.85316,8.18258e-302,0
-3.8481,2.11803e-301,0
-3.84304,5.48238e-301,0
-3.83797,1.41905e-300,0
-3.83291,3.673e-300,0
-3.82785,9.50685e-300,0
-3.82278,2.46063e-299,0
-3.81772,6.36867e-299,0
-3.81266,1.64833e-298,0
-3.80759,4.26612e-298,0
-3.80253,1.10412e-297,0
-3.79747,2.85753e-297,0
-3.79241,7.39536e-297,0
-3.78734,1.91391e-296,0
-3.78228,4.95309e-296,0
-3.77722,1.28181e-295,0
-3.77215,3.31715e-295,0
-3.76709,8.5842e-295,0
-3.76203,2.2214e-294,0
-3.75696,5.74841e-294,0
-3.7519,1.48751e-293,0
-3.74684,3.84917e-293,0
-3.74177,9.96017e-293,0
-3.73671,2.57727e-292,0
-3.73165,6.66875e-292,0
-3.72658,1.72553e-291,0
-3.72152,4.46472e-291,0
-3.71646,1.1552e-290,0
-3.71139,2.98893e-290,0
-3.70633,7.73331e-290,0
-3.70127,2.00082e-289,0
-3.6962,5.17659e-289,0
-3.69114,1.33928e-288,0
-3.68608,3.46492e-288,0
-3.68101,8.96412e-288,0
-3.67595,2.31907e-287,0
-3.67089,5.99948e-287,0
-3.66582,1.55205e-286,0
-3.66076,4.01505e-286,0
-3.6557,1.03865e-285,0
-3.65063,2.68682e-285,0
-3.64557,6.95027e-285,0
-3.64051,1.79786e-284,0
-3.63544,4.65056e-284,0
-3.63038,1.20294e-283,0
-3.62532,3.11156e-283,0
-3.62025,8.0483e-283,0
-3.61519,2.08172e-282,0
-3.61013,5.38435e-282,0
-3.60506,1.39263e-281,0
-3.6,3.6019e-281,0
-3.59494,9.31579e-281,0
-3.58987,2.40935e-280,0
-3.58481,6.23122e-280,0
-3.57975,1.61153e-279,0
-3.57468,4.16769e-279,0
-3.56962,1.07782e-278,0
-3.56456,2.78733e-278,0
-3.55949,7.20812e-278,0
-3.55443,1.86401e-277,0
-3.54937,4.82023e-277,0
-3.5443,1.24646e-276,0
-3.53924,3.22316e-276,0
-3.53418,8.33446e-276,0
-3.52911,2.15509e-275,0
-3.52405,5.57243e-275,0
-3.51899,1.44084e-274,0
-3.51392,3.72546e-274,0
-3.50886,9.63244e-274,0
-3.5038,2.49049e-273,0
-3.49873,6.43908e-273,0
-3.49367,1.66478e-272,0
-3.48861,4.30408e-272,0
-3.48354,1.11275e-271,0
-3.47848,2.87676e-271,0
-3.47342,7.43709e-271,0
-3.46835,1.92263e-270,0
-3.46329,4.97025e-270,0
-3.45823,1.28485e-269,0
-3.45316,3.32139e-269,0
-3.4481,8.58577e-269,0
-3.44304,2.21937e-268,0
-3.43797,5.73683e-268,0
-3.43291,1.48288e-267,0
-3.42785,3.83293e-267,0
-3.42278,9.90715e-267,0
-3.41772,2.56069e-266,0
-3.41266,6.61848e-266,0
-3.40759,1.71061e-265,0
-3.40253,4.42113e-265,0
-3.39747,1.14264e-264,0
-3.39241,2.95308e-264,0
-3.38734,7.63192e-264,0
-3.38228,1.97235e-263,0
-3.37722,5.09711e-263,0
-3.37215,1.31722e-262,0
-3.36709,3.40393e-262,0
-3.36203,8.79621e-262,0
-3.35696,2.27301e-261,0
-3.3519,5.87354e-261,0
-3.34684,1.51771e-260,0
-3.34177,3.92166e-260,0
-3.33671,1.01331e-259,0
-3.33165,2.61821e-259,0
-3.32658,6.76484e-259,0
-3.32152,1.74784e-258,0
-3.31646,4.51584e-258,0
-3.31139,1.16672e-257,0
-3.30633,3.01429e-257,0
-3.30127,7.78742e-257,0
-3.2962,2.01184e-256,0
-3.29114,5.19739e-256,0
-3.28608,1.34267e-255,0
-3.28101,3.46849e-255,0
-3.27595,8.95994e-255,0
-3.27089,2.31452e-254,0
-3.26582,5.97869e-254,0
-3.26076,1.54434e-253,0
-3.2557,3.98906e-253,0
-3.25063,1.03036e-252,0
-3.24557,2.66132e-252,0
-3.24051,6.8738e-252,0
-3.23544,1.77536e-251,0
-3.23038,4.5853e-251,0
-3.22532,1.18424e-250,0
-3.22025,3.05845e-250,0
-3.21519,7.89868e-250,0
-3.21013,2.03985e-249,0
-3.20506,5.26783e-249,0
-3.2,1.36037e-248,0
-3.19494,3.51294e-248,0
-3.18987,9.07142e-248,0
-3.18481,2.34245e-247,0
-3.17975,6.04862e-247,0
-3.17468,1.56183e-246,0
-3.16962,4.03273e-246,0
-3.16456,1.04125e-245,0
-3.15949,2.68845e-245,0
-3.15443,6.94127e-245,0
-3.14937,1.79212e-244,0
-3.1443,4.62683e-244,0
-3.13924,1.19451e-243,0
-3.13418,3.08382e-243,0
-3.12911,7.96116e-243,0
-3.12405,2.0552e-242,0
-3.11899,5.30544e-242,0
-3.11392,1.36955e-241,0
-3.10886,3.5353e-241,0
-3.1038,9.12564e-241,0
-3.09873,2.35554e-240,0
-3.09367,6.08005e-240,0
-3.08861,1.56933e-239,0
-3.08354,4.05051e-239,0
-3.07848,1.04543e-238,0
-3.07342,2.69819e-238,0
-3.06835,6.96366e-238,0
-3.06329,1.79718e-237,0
-3.05823,4.63807e-237,0
-3.05316,1.19694e-236,0
-3.0481,3.08884e-236,0
-3.04304,7.97091e-236,0
-3.03797,2.05689e-235,0
-3.03291,5.30765e-235,0
-3.02785,1.36957e-234,0
-3.02278,3.5339e-234,0
-3.01772,9.11831e-234,0
-3.01266,2.35268e-233,0
-3.00759,6.07019e-233,0
-3.00253,1.56614e-232,0
-2.99747,4.04061e-232,0
-2.99241,1.04244e-231,0
-2.98734,2.68935e-231,0
-2.98228,6.93795e-231,0
-2.97722,1.7898e-230,0
-2.97215,4.61707e-230,0
-2.96709,1.19102e-229,0
-2.96203,3.07226e-229,0
-2.95696,7.92476e-229,0
-2.9519,2.04411e-228,0
-2.94684,5.27242e-228,0
-2.94177,1.35989e-227,0
-2.93671,3.50743e-227,0
-2.93165,9.04609e-227,0
-2.92658,2.33304e-226,0
-2.92152,6.01689e-226,0
-2.91646,1.55171e-225,0
-2.91139,4.00163e-225,0
-2.90633,1.03193e-224,0
-2.90127,2.66107e-224,0
-2.8962,6.86195e-224,0
-2.89114,1.76941e-223,0
-2.88608,4.56243e-223,0
-2.88101,1.1764e-222,0
-2.87595,3.03318e-222,0
-2.87089,7.82046e-222,0
-2.86582,2.01629e-221,0
-2.86076,5.19832e-221,0
-2.8557,1.34017e-220,0
-2.85063,3.45499e-220,0
-2.84557,8.90677e-220,0
-2.84051,2.29605e-219,0
-2.83544,5.91877e-219,0
-2.83038,1.5257e-218,0
-2.82532,3.93273e-218,0
-2.82025,1.01369e-217,0
-2.81519,2.61281e-217,0
-2.81013,6.73436e-217,0
-2.80506,1.73569e-216,0
-2.8,4.47338e-216,0
-2.79494,1.15289e-215,0
-2.78987,2.97116e-215,0
-2.78481,7.65688e-215,0
-2.77975,1.97318e-214,0
-2.77468,5.08471e-214,0
-2.76962,1.31025e-213,0
-2.76456,3.37622e-213,0
-2.75949,8.69948e-213,0
-2.75443,2.24152e-212,0
-2.74937,5.77538e-212,0
-2.7443,1.48801e-211,0
-2.73924,3.83368e-211,0
-2.73418,9.87675e-211,0
-2.72911,2.54448e-210,0
-2.72405,6.55498e-210,0
-2.71899,1.68861e-209,0
-2.71392,4.34987e-209,0
-2.70886,1.12049e-208,0
-2.7038,2.88621e-208,0
-2.69873,7.43419e-208,0
-2.69367,1.91481e-207,0
-2.68861,4.9318e-207,0
-2.68354,1.2702e-206,0
-2.67848,3.27132e-206,0
-2.67342,8.42483e-206,0
-2.66835,2.16963e-205,0
-2.66329,5.58724e-205,0
-2.65823,1.43878e-204,0
-2.65316,3.70491e-204,0
-2.6481,9.53999e-204,0
-2.64304,2.45643e-203,0
-2.63797,6.32478e-203,0
-2.63291,1.62845e-202,0
-2.62785,4.19264e-202,0
-2.62278,1.07941e-201,0
-2.61772,2.7789e-201,0
-2.61266,7.15392e-201,0
-2.60759,1.84162e-200,0
-2.60253,4.74072e-200,0
-2.59747,1.22032e-199,0
-2.59241,3.14113e-199,0
-2.58734,8.0851e-199,0
-2.58228,2.08099e-198,0
-2.57722,5.356e-198,0
-2.57215,1.37847e-197,0
-2.56709,3.54762e-197,0
-2.56203,9.12985e-197,0
-2.55696,2.3495e-196,0
-2.5519,6.04604e-196,0
-2.54684,1.5558e-195,0
-2.54177,4.00331e-195,0
-2.53671,1.03008e-194,0
-2.53165,2.65037e-194,0
-2.52658,6.81911e-194,0
-2.52152,1.75442e-193,0
-2.51646,4.51361e-193,0
-2.51139,1.16118e-192,0
-2.50633,2.98716e-192,0
-2.50127,7.68428e-192,0
-2.4962,1.97666e-191,0
-2.49114,5.08446e-191,0
-2.48608,1.3078e-190,0
-2.48101,3.36375e-190,0
-2.47595,8.65147e-190,0
-2.47089,2.22505e-189,0
-2.46582,5.72234e-189,0
-2.46076,1.47161e-188,0
-2.4557,3.78437e-188,0
-2.45063,9.7315e-188,0
-2.44557,2.50236e-187,0
-2.44051,6.43432e-187,0
-2.43544,1.6544e-186,0
-2.43038,4.25364e-186,0
-2.42532,1.09362e-185,0
-2.42025,2.81159e-185,0
-2.41519,7.22809e-185,0
-2.41013,1.85814e-184,0
-2.40506,4.77657e-184,0
-2.4,1.22783e-183,0
-2.39494,3.15603e-183,0
-2.38987,8.112e-183,0
-2.38481,2.08496e-182,0
-2.37975,5.3586e-182,0
-2.37468,1.37717e-181,0
-2.36962,3.5392e-181,0
-2.36456,9.09509e-181,0
-2.35949,2.33717e-180,0
-2.35443,6.00561e-180,0
-2.34937,1.54314e-179,0
-2.3443,3.96495e-179,0
-2.33924,1.01871e-178,0
-2.33418,2.61726e-178,0
-2.32911,6.72397e-178,0
-2.32405,1.72737e-177,0
-2.31899,4.43739e-177,0
-2.31392,1.13986e-176,0
-2.30886,2.92791e-176,0
-2.3038,7.52049e-176,0
-2.29873,1.93159e-175,0
-2.29367,4.96098e-175,0
-2.28861,1.27409e-174,0
-2.28354,3.27201e-174,0
-2.27848,8.40253e-174,0
-2.27342,2.15768e-173,0
-2.26835,5.54045e-173,0
-2.26329,1.42261e-172,0
-2.25823,3.65262e-172,0
-2.25316,9.37792e-172,0
-2.2481,2.40762e-171,0
-2.24304,6.1809e-171,0
-2.23797,1.5867e-170,0
-2.23291,4.07305e-170,0
-2.22785,1.0455e-169,0
-2.22278,2.68356e-169,0
-2.21772,6.88774e-169,0
-2.21266,1.76776e-168,0
-2.20759,4.53679e-168,0
-2.20253,1.16428e-167,0
-2.19747,2.98774e-167,0
-2.19241,7.6667e-167,0
-2.18734,1.96723e-166,0
-2.18228,5.04755e-166,0
-2.17722,1.29505e-165,0
-2.17215,3.32255e-165,0
-2.16709,8.52387e-165,0
-2.16203,2.18666e-164,0
-2.15696,5.60924e-164,0
-2.1519,1.43882e-163,0
-2.14684,3.69053e-163,0
-2.14177,9.46562e-163,0
-2.13671,2.42766e-162,0
-2.13165,6.22597e-162,0
-2.12658,1.59663e-161,0
-2.12152,4.0943e-161,0
-2.11646,1.04987e-160,0
-2.11139,2.69195e-160,0
-2.10633,6.90203e-160,0
-2.10127,1.76956e-159,0
-2.0962,4.53663e-159,0
-2.09114,1.163e-158,0
-2.08608,2.98127e-158,0
-2.08101,7.64191e-158,0
-2.07595,1.95876e-157,0
-2.07089,5.02038e-157,0
-2.06582,1.28668e-156,0
-2.06076,3.29747e-156,0
-2.0557,8.45023e-156,0
