t,e_max
0.298914,0.00131911
0.298939,0.00131905
0.298965,0.00131899
0.298991,0.00131894
0.299016,0.00131888
0.299042,0.00131882
0.299068,0.00131877
0.299093,0.00131871
0.299119,0.00131865
0.299144,0.0013186
0.29917,0.00131854
0.299196,0.00131848
0.299221,0.00131843
0.299247,0.00131837
0.299273,0.00131831
0.299298,0.00131826
0.299324,0.0013182
0.299349,0.00131815
0.299375,0.00131809
0.299401,0.00131803
0.299426,0.00131798
0.299452,0.00131792
0.299477,0.00131786
0.299503,0.00131781
0.299529,0.00131775
0.299554,0.00131769
0.29958,0.00131764
0.299606,0.00131758
0.299631,0.00131752
0.299657,0.00131747
0.299682,0.00131741
0.299708,0.00131735
0.299734,0.0013173
0.299759,0.00131724
0.299785,0.00131719
0.29981,0.00131713
0.299836,0.00131707
0.299862,0.00131702
0.299887,0.00131696
0.299913,0.0013169
0.299939,0.00131685
0.299964,0.00131679
0.29999,0.00131673
0.300015,0.00131668
0.300041,0.00131662
0.300067,0.00131656
0.300092,0.00131651
0.300118,0.00131645
0.300143,0.0013164
0.300169,0.00131634
0.300195,0.00131628
0.30022,0.00131623
0.300246,0.00131617
0.300272,0.00131611
0.300297,0.00131606
0.300323,0.001316
0.300348,0.00131595
0.300374,0.00131589
0.3004,0.00131583
0.300425,0.00131578
0.300451,0.00131572
0.300476,0.00131566
0.300502,0.00131561
0.300528,0.00131555
0.300553,0.0013155
0.300579,0.00131544
0.300605,0.00131538
0.30063,0.00131533
0.300656,0.00131527
0.300681,0.00131521
0.300707,0.00131516
0.300733,0.0013151
0.300758,0.00131505
0.300784,0.00131499
0.300809,0.00131493
0.300835,0.00131488
0.300861,0.00131482
0.300886,0.00131477
0.300912,0.00131471
0.300938,0.00131465
0.300963,0.0013146
0.300989,0.00131454
0.301014,0.00131449
0.30104,0.00131443
0.301066,0.00131437
0.301091,0.00131432
0.301117,0.00131426
0.301142,0.0013142
0.301168,0.00131415
0.301194,0.00131409
0.301219,0.00131404
0.301245,0.00131398
0.301271,0.00131392
0.301296,0.00131387
0.301322,0.00131381
0.301347,0.00131376
0.301373,0.0013137
0.301399,0.00131364
0.301424,0.00131359
0.30145,0.00131353
0.301475,0.00131348
0.301501,0.00131342
0.301527,0.00131337
0.301552,0.00131331
0.301578,0.00131325
0.301604,0.0013132
0.301629,0.00131314
0.301655,0.00131309
0.30168,0.00131303
0.301706,0.00131297
0.301732,0.00131292
0.301757,0.00131286
0.301783,0.00131281
0.301808,0.00131275
0.301834,0.00131269
0.30186,0.00131264
0.301885,0.00131258
0.301911,0.00131253
0.301937,0.00131247
0.301962,0.00131242
0.301988,0.00131236
0.302013,0.0013123
0.302039,0.00131225
0.302065,0.00131219
0.30209,0.00131214
0.302116,0.00131208
0.302142,0.00131202
0.302167,0.00131197
0.302193,0.00131191
0.302218,0.00131186
0.302244,0.0013118
0.30227,0.00131175
0.302295,0.00131169
0.302321,0.00131163
0.302346,0.00131158
0.302372,0.00131152
0.302398,0.00131147
0.302423,0.00131141
0.302449,0.00131136
0.302475,0.0013113
0.3025,0.00131124
0.302526,0.00131119
0.302551,0.00131113
0.302577,0.00131108
0.302603,0.00131102
0.302628,0.00131097
0.302654,0.00131091
0.302679,0.00131086
0.302705,0.0013108
0.302731,0.00131074
0.302756,0.00131069
0.302782,0.00131063
0.302808,0.00131058
0.302833,0.00131052
0.302859,0.00131047
0.302884,0.00131041
0.30291,0.00131036
0.302936,0.0013103
0.302961,0.00131024
0.302987,0.00131019
0.303012,0.00131013
0.303038,0.00131008
0.303064,0.00131002
0.303089,0.00130997
0.303115,0.00130991
0.303141,0.00130986
0.303166,0.0013098
0.303192,0.00130974
0.303217,0.00130969
0.303243,0.00130963
0.303269,0.00130958
0.303294,0.00130952
0.30332,0.00130947
0.303345,0.00130941
0.303371,0.00130936
0.303397,0.0013093
0.303422,0.00130925
0.303448,0.00130919
0.303474,0.00130913
0.303499,0.00130908
0.303525,0.00130902
0.30355,0.00130897
0.303576,0.00130891
0.303602,0.00130886
0.303627,0.0013088
0.303653,0.00130875
0.303678,0.00130869
0.303704,0.00130864
0.30373,0.00130858
0.303755,0.00130853
0.303781,0.00130847
0.303807,0.00130842
0.303832,0.00130836
0.303858,0.0013083
0.303883,0.00130825
0.303909,0.00130819
0.303935,0.00130814
0.30396,0.00130808
0.303986,0.00130803
0.304011,0.00130797
0.304037,0.00130792
0.304063,0.00130786
0.304088,0.00130781
0.304114,0.00130775
0.30414,0.0013077
0.304165,0.00130764
0.304191,0.00130759
0.304216,0.00130753
0.304242,0.00130748
0.304268,0.00130742
0.304293,0.00130737
0.304319,0.00130731
0.304344,0.00130726
0.30437,0.0013072
0.304396,0.00130715
